,name,timestamp,week,symbol,compound,positive,negative,neutral,add
136,SatoshiLite,Nov/17/2017,46,Bitcoin,0.731,0.296,0.0,0.704,1
137,SatoshiLite,Nov/17/2017,46,Bitcoin,-0.1027,0.123,0.142,0.735,1
138,SatoshiLite,Nov/16/2017,46,Bitcoin,0.6597,0.213,0.0,0.787,1
139,SatoshiLite,Nov/16/2017,46,Bitcoin,0.4588,0.211,0.0,0.789,1
140,SatoshiLite,Nov/16/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
141,SatoshiLite,Nov/16/2017,46,Bitcoin,0.4753,0.382,0.0,0.618,1
142,SatoshiLite,Nov/16/2017,46,Bitcoin,0.2144,0.085,0.0,0.915,1
143,SatoshiLite,Nov/16/2017,46,Bitcoin,0.3612,0.111,0.0,0.889,1
144,SatoshiLite,Nov/15/2017,46,Bitcoin,0.6369,0.257,0.0,0.743,1
145,SatoshiLite,Nov/15/2017,46,Bitcoin,0.7351,0.36,0.0,0.64,1
146,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.4767,0.0,0.193,0.807,1
147,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
148,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.6597,0.0,0.253,0.747,1
149,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
150,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
151,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.0258,0.191,0.198,0.611,1
152,SatoshiLite,Nov/15/2017,46,Bitcoin,0.1531,0.13,0.091,0.779,1
153,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.4404,0.0,0.225,0.775,1
154,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.5574,0.0,0.231,0.769,1
155,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
156,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
157,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.296,0.0,0.136,0.864,1
158,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
159,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
160,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.5106,0.0,0.18,0.82,1
161,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.3612,0.0,0.238,0.762,1
162,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
163,SatoshiLite,Nov/15/2017,46,Bitcoin,0.7684,0.31,0.0,0.69,1
164,SatoshiLite,Nov/15/2017,46,Bitcoin,0.3612,0.172,0.0,0.828,1
165,SatoshiLite,Nov/15/2017,46,Bitcoin,0.4926,0.516,0.0,0.484,1
166,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.7269,0.0,0.289,0.711,1
167,SatoshiLite,Nov/15/2017,46,Bitcoin,0.2401,0.179,0.0,0.821,1
168,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.1531,0.117,0.187,0.696,1
169,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.128,0.0,0.073,0.927,1
170,SatoshiLite,Nov/15/2017,46,Bitcoin,0.0,0.0,0.0,1.0,1
171,SatoshiLite,Nov/15/2017,46,Bitcoin,0.7351,0.275,0.0,0.725,1
172,SatoshiLite,Nov/15/2017,46,Bitcoin,0.4404,0.367,0.0,0.633,1
173,SatoshiLite,Nov/15/2017,46,Bitcoin,0.296,0.239,0.0,0.761,1
174,SatoshiLite,Nov/15/2017,46,Bitcoin,-0.2755,0.0,0.095,0.905,1
175,SatoshiLite,Nov/15/2017,46,Bitcoin,0.5562,0.159,0.0,0.841,1
176,SatoshiLite,Nov/15/2017,46,Bitcoin,0.4199,0.155,0.068,0.777,1
