Date,Open,High,Low,Close,Adj Close,Volume
11/16/2017,7283.02002,7964.640137,7119.169922,7853.680176,7853.680176,1010130763
11/17/2017,7853.680176,8000.189941,7534.700195,7699.950195,7699.950195,917599923
11/18/2017,7699.950195,7857.52002,7458.899902,7780.910156,7780.910156,571121111
11/19/2017,7781.02002,8100.870117,7675.410156,8042.640137,8042.640137,541391321
11/20/2017,8042.640137,8294.120117,7947.279785,8244.69043,8244.69043,617354329
11/21/2017,8245.870117,8368.360352,7819.060059,8099.970215,8099.970215,938345413
11/22/2017,8099.919922,8304.370117,8091.629883,8234.549805,8234.549805,539697375
11/23/2017,8234.5,8266.549805,8012.350098,8013.410156,8013.410156,555465146
11/24/2017,8013.379883,8332.94043,7900.169922,8200.799805,8200.799805,595710405
11/25/2017,8203.450195,8761.980469,8153.700195,8754.69043,8754.69043,718483679
11/26/2017,8754.620117,9474.620117,8746.55957,9318.419922,9318.419922,782499976
11/27/2017,9318.419922,9733.610352,9316.839844,9733.200195,9733.200195,1025175619
11/28/2017,9732.629883,9969.580078,9638.200195,9906.040039,9906.040039,865328615
11/29/2017,9906.040039,11417.83984,8938.700195,9837.860352,9837.860352,2418792360
11/30/2017,9848.049805,10689.05957,9023.769531,9946.759766,9946.759766,1836210107
12/1/2017,9947.080078,10942.79981,9420.929688,10861.46973,10861.46973,1353669597
12/2/2017,10861.46973,11175.23047,10715.54981,10912.73047,10912.73047,950474241
12/3/2017,10912.71973,11851.08984,10578.42969,11246.20996,11246.20996,1380012064
12/4/2017,11244.2002,11624.62988,10917.80957,11623.91016,11623.91016,1057859226
12/5/2017,11624.37012,11901.87012,11486.12988,11667.12988,11667.12988,1048839303
12/6/2017,11667.12988,13843.2002,11661.75977,13749.57031,13749.57031,2437037791
12/7/2017,13750.08984,16879.25977,13401.61035,16850.31055,16850.31055,4510225316
12/8/2017,16867.98047,17294.84961,13906.09961,16047.61035,16047.61035,4546014731
